Word,Occurrence,% Frequency
clearly,91,0.01617774901733508
call,91,0.01617774901733508
event,90,0.015999971555606122
master,90,0.015999971555606122
dmitrievna,90,0.015999971555606122
ladies,90,0.015999971555606122
plan,90,0.015999971555606122
hope,90,0.015999971555606122
foot,89,0.015822194093877168
covered,89,0.015822194093877168
spent,89,0.015822194093877168
living,89,0.015822194093877168
hardly,89,0.015822194093877168
listen,89,0.015822194093877168
water,88,0.01564441663214821
experienced,88,0.01564441663214821
gazed,88,0.01564441663214821
beginning,88,0.01564441663214821
rather,88,0.01564441663214821
cossacks,87,0.015466639170419252
cannon,87,0.015466639170419252
farther,87,0.015466639170419252
uncle,87,0.015466639170419252
porch,87,0.015466639170419252
particularly,87,0.015466639170419252
forces,87,0.015466639170419252
pleased,87,0.015466639170419252
today,87,0.015466639170419252
truth,86,0.015288861708690295
eh,86,0.015288861708690295
sounds,86,0.015288861708690295
knows,86,0.015288861708690295
knowing,86,0.015288861708690295
subject,86,0.015288861708690295
pleasant,86,0.015288861708690295
gray,86,0.015288861708690295
calm,86,0.015288861708690295
friends,86,0.015288861708690295
retreat,85,0.015111084246961339
firing,85,0.015111084246961339
view,85,0.015111084246961339
deep,85,0.015111084246961339
surprise,85,0.015111084246961339
seems,85,0.015111084246961339
listening,85,0.015111084246961339
lady,85,0.015111084246961339
least,85,0.015111084246961339
victory,84,0.014933306785232383
move,84,0.014933306785232383
reading,84,0.014933306785232383
exclaimed,84,0.014933306785232383
sake,84,0.014933306785232383
passing,84,0.014933306785232383
pass,84,0.014933306785232383
various,83,0.014755529323503424
hill,83,0.014755529323503424
hills,83,0.014755529323503424
hard,83,0.014755529323503424
gentlemen,83,0.014755529323503424
marry,83,0.014755529323503424
middle,83,0.014755529323503424
seem,83,0.014755529323503424
probably,83,0.014755529323503424
difficult,83,0.014755529323503424
bring,83,0.014755529323503424
happen,83,0.014755529323503424
cap,83,0.014755529323503424
instead,83,0.014755529323503424
despite,83,0.014755529323503424
fixed,82,0.014577751861774468
meant,82,0.014577751861774468
within,82,0.014577751861774468
infantry,82,0.014577751861774468
lying,82,0.014577751861774468
nonsense,82,0.014577751861774468
change,82,0.014577751861774468
leaving,82,0.014577751861774468
keep,82,0.014577751861774468
point,82,0.014577751861774468
beautiful,82,0.014577751861774468
carts,81,0.014399974400045512
begun,81,0.014399974400045512
pressed,81,0.014399974400045512
joy,81,0.014399974400045512
seized,81,0.014399974400045512
finished,81,0.014399974400045512
cossack,80,0.014222196938316552
march,80,0.014222196938316552
hussar,80,0.014222196938316552
step,80,0.014222196938316552
whispered,80,0.014222196938316552
kutuzovs,80,0.014222196938316552
sad,80,0.014222196938316552
quiet,80,0.014222196938316552
bald,80,0.014222196938316552
grown,80,0.014222196938316552
tikhon,79,0.014044419476587596
asleep,79,0.014044419476587596
angrily,79,0.014044419476587596
continually,79,0.014044419476587596
prepared,79,0.014044419476587596
bonaparte,79,0.014044419476587596
drove,78,0.01386664201485864
pointing,78,0.01386664201485864
single,78,0.01386664201485864
rushed,78,0.01386664201485864
ranks,78,0.01386664201485864
distance,78,0.01386664201485864
street,78,0.01386664201485864
sleep,78,0.01386664201485864
theres,78,0.01386664201485864
laughed,78,0.01386664201485864
fight,77,0.013688864553129685
cavalry,77,0.013688864553129685
getting,77,0.013688864553129685
simply,77,0.013688864553129685
serfs,77,0.013688864553129685
mouth,77,0.013688864553129685
poor,77,0.013688864553129685
conception,76,0.013511087091400725
involuntarily,76,0.013511087091400725
condition,76,0.013511087091400725
number,76,0.013511087091400725
effort,76,0.013511087091400725
remain,76,0.013511087091400725
evident,76,0.013511087091400725
affair,76,0.013511087091400725
battery,75,0.01333330962967177
hearing,75,0.01333330962967177
drawn,75,0.01333330962967177
story,75,0.01333330962967177
thank,75,0.01333330962967177
nearer,75,0.01333330962967177
tea,75,0.01333330962967177
suite,74,0.013155532167942813
desire,74,0.013155532167942813
lived,74,0.013155532167942813
future,74,0.013155532167942813
ago,74,0.013155532167942813
path,74,0.013155532167942813
glass,74,0.013155532167942813
fall,74,0.013155532167942813
direction,74,0.013155532167942813
cross,74,0.013155532167942813
result,73,0.012977754706213856
presented,73,0.012977754706213856
forget,73,0.012977754706213856
therefore,73,0.012977754706213856
dead,73,0.012977754706213856
idea,73,0.012977754706213856
looks,73,0.012977754706213856
low,73,0.012977754706213856
glancing,73,0.012977754706213856
formed,73,0.012977754706213856
married,73,0.012977754706213856
paused,73,0.012977754706213856
matters,73,0.012977754706213856
sofa,73,0.012977754706213856
suffering,73,0.012977754706213856
danger,72,0.012799977244484898
liked,72,0.012799977244484898
youre,72,0.012799977244484898
use,72,0.012799977244484898
real,72,0.012799977244484898
dressed,72,0.012799977244484898
bright,72,0.012799977244484898
special,72,0.012799977244484898
person,72,0.012799977244484898
following,71,0.01262219978275594
laughter,71,0.01262219978275594
stop,71,0.01262219978275594
latter,71,0.01262219978275594
placed,71,0.01262219978275594
spite,71,0.01262219978275594
sense,71,0.01262219978275594
guests,71,0.01262219978275594
rubles,71,0.01262219978275594
actions,71,0.01262219978275594
try,71,0.01262219978275594
book,71,0.01262219978275594
report,70,0.012444422321026985
according,70,0.012444422321026985
peasant,70,0.012444422321026985
walked,70,0.012444422321026985
sir,70,0.012444422321026985
hour,70,0.012444422321026985
party,70,0.012444422321026985
figure,70,0.012444422321026985
begin,70,0.012444422321026985
brilliant,70,0.012444422321026985
approached,70,0.012444422321026985
glance,70,0.012444422321026985
enter,70,0.012444422321026985
addressing,70,0.012444422321026985
pretty,70,0.012444422321026985
occurred,70,0.012444422321026985
court,70,0.012444422321026985
means,70,0.012444422321026985
austrian,69,0.012266644859298029
send,69,0.012266644859298029
neck,69,0.012266644859298029
counts,69,0.012266644859298029
account,69,0.012266644859298029
except,69,0.012266644859298029
muttered,69,0.012266644859298029
sure,69,0.012266644859298029
splendid,69,0.012266644859298029
wearing,69,0.012266644859298029
sit,69,0.012266644859298029
bennigsen,68,0.012088867397569071
dressing,68,0.012088867397569071
whatever,68,0.012088867397569071
feelings,68,0.012088867397569071
leg,68,0.012088867397569071
die,68,0.012088867397569071
understanding,68,0.012088867397569071
hurriedly,68,0.012088867397569071
simple,68,0.012088867397569071
